CHR PASS ALL MAF
9 1102663 1207336 447474
10 1279918 1396775 529410
11 1256940 1376827 513904
12 1209495 1317309 489899
13 929771 1002873 381462
14 824540 900591 332988
15 749354 830006 299754
16 826394 914443 327270
17 700076 780550 276211
18 725409 785420 296980
19 565771 645842 232850
20 582121 629980 234950
21 345647 386095 142378
22 337902 377953 139181
1 1983382 2167126 792299
2 2212789 2402346 879447
3 1834746 1984468 743889
4 1834728 1999674 748330
5 1680951 1824063 667119
6 1608242 1750592 672527
7 1474966 1634405 598032
8 1465249 1582100 578290
